Sample,TP53,BRCA1,EGFR,MYC
P735,6.1,2.3,9.9,3.7
P736,5.8,1.9,8.4,3.4
P737,5.7,2.0,8.5,3.2
P738,6.0,2.0,8.9,3.3
P739,6.4,2.3,9.7,3.2
P740,6.1,2.5,9.2,2.9
P741,4.6,2.1,9.0,3.1
P742,4.9,2.1,9.0,3.6
P743,5.2,2.2,8.8,3.5
P744,5.6,2.4,9.1,3.5
P745,5.8,2.0,7.2,3.0
P746,5.2,2.2,8.5,3.3
P747,5.6,2.3,8.9,2.5
P748,5.2,2.2,8.0,3.5
P749,5.2,2.2,9.0,4.0
P750,4.8,2.3,8.6,2.8
P751,5.1,1.7,9.8,3.2
P752,4.9,2.3,9.7,3.5
P753,5.1,2.0,8.4,3.9
P754,6.1,1.8,8.6,3.2
P755,5.1,2.2,8.7,3.1
P756,6.9,2.4,8.4,2.6
P757,5.8,2.1,8.8,3.4
P758,5.6,2.3,8.3,4.2
P759,5.1,2.4,8.0,3.5
P760,5.9,2.4,9.1,3.4
P761,5.3,2.4,9.1,3.5
P762,5.6,2.3,8.2,3.4
P763,6.8,2.2,9.3,3.1
P764,5.5,1.9,8.3,3.7
P765,6.1,2.1,8.9,3.5
P766,5.2,2.0,9.2,3.4
P767,5.5,2.5,8.7,3.0
P768,6.4,2.1,9.0,3.9
P769,5.2,2.2,8.4,3.7
P770,6.5,2.2,8.6,3.2
P771,5.9,2.2,8.6,3.8
P772,5.3,2.5,8.3,3.2
P773,5.9,2.0,8.6,3.1
P774,6.0,2.2,7.8,3.1
P775,5.9,2.0,8.4,2.7
P776,4.8,1.9,8.6,3.6
P777,5.2,2.0,8.6,2.7
P778,5.4,2.1,8.6,2.9
P779,5.5,2.1,8.7,2.6
P780,5.9,2.0,9.0,3.4
P781,5.6,1.9,9.3,3.3
P782,4.9,2.1,8.3,3.3
P783,5.7,1.9,8.0,3.0
P784,5.9,2.3,8.1,2.9
P785,5.8,2.2,8.4,3.6
P786,6.1,1.9,8.5,3.2
P787,6.0,2.1,8.3,3.5
P788,5.8,2.0,7.9,3.0
P789,5.5,2.2,8.4,3.5
P790,4.7,2.4,8.8,3.9
P791,5.8,1.8,9.1,3.6
P792,5.7,2.2,8.4,3.2
P793,5.7,2.1,8.5,3.5
P794,4.9,2.3,8.2,3.3
P795,5.0,2.2,8.7,3.4
P796,6.1,2.0,8.2,3.3
P797,5.5,2.1,9.1,3.3
P798,5.9,2.0,7.6,3.5
P799,5.6,2.3,8.5,3.0
P800,5.6,2.2,8.9,3.0
P801,6.0,2.5,8.8,2.8
P802,5.3,2.1,10.4,2.7
P803,5.6,2.0,8.9,2.9
P804,5.3,1.9,8.1,3.5
P805,5.3,1.8,8.7,3.0
P806,5.4,1.9,7.6,3.6
P807,5.7,2.2,8.7,3.4
P808,5.3,2.2,8.2,2.6
P809,6.2,1.9,9.3,3.7
P810,5.1,2.3,8.4,3.7
P811,5.5,2.1,8.7,3.0
P812,5.3,2.2,8.3,3.6
P813,6.3,2.4,9.8,3.1
P814,5.6,2.3,8.5,3.4
P815,6.1,2.1,9.8,2.9
P816,4.8,2.0,9.2,2.7
P817,5.7,1.8,9.0,3.2
P818,6.0,2.0,8.9,3.3
P819,5.6,2.1,9.0,3.2
P820,6.1,2.0,7.5,2.9
P821,5.3,2.1,8.6,3.2
P822,6.3,2.2,9.2,3.5
P823,6.7,2.1,8.7,3.4
P824,5.4,2.0,7.9,3.5
P825,5.3,2.2,8.7,3.1
P826,6.3,2.2,9.8,3.9
P827,6.3,2.0,9.5,2.9
P828,5.3,2.4,8.7,3.6
P829,5.3,2.1,9.3,3.9
P830,5.4,2.2,8.5,3.6
P831,4.9,2.3,7.7,3.3
P832,5.1,2.2,8.2,3.2
P833,5.0,2.3,9.7,3.8
P834,5.2,2.2,8.6,2.8
P835,5.5,2.0,8.6,3.0
P836,5.7,2.2,8.5,3.2
P837,6.3,1.9,9.9,3.9
P838,5.0,2.2,9.7,3.6
P839,6.0,2.1,10.1,3.0
P840,5.4,2.1,8.6,3.3
P841,5.5,2.1,8.9,3.2
P842,5.9,1.8,7.8,3.1
P843,5.0,2.1,9.6,3.8
P844,5.7,2.2,8.0,2.8
P845,5.6,2.2,8.9,4.1
P846,5.8,2.0,8.1,3.7
P847,5.7,2.4,8.4,3.8
P848,6.8,2.0,8.2,3.2
P849,5.2,2.3,8.4,3.3
P850,5.3,2.2,8.4,2.8
P851,5.2,2.0,8.4,3.2
P852,5.3,2.5,9.2,3.6
P853,5.2,1.9,8.1,3.9
P854,6.1,2.3,8.9,3.0
P855,6.3,2.3,9.5,3.3
P856,5.3,2.0,8.4,3.3
P857,5.1,2.4,8.3,2.8
P858,5.8,2.1,8.6,3.6
P859,5.3,2.2,9.4,3.1
P860,5.9,2.2,8.8,3.3
P861,5.7,2.1,8.4,3.2
P862,4.8,2.3,9.0,3.1
P863,6.3,2.3,8.1,3.4
P864,6.5,1.8,9.1,3.3
P865,5.2,2.4,9.0,3.2
P866,5.4,1.9,8.5,3.1
P867,5.7,2.3,8.2,3.5
P868,5.7,2.4,8.2,4.1
P869,5.9,2.0,9.1,3.5
P870,6.6,2.1,9.5,3.8
P871,5.5,2.0,8.3,2.8
P872,5.1,2.1,9.0,3.5
P873,4.9,2.1,7.5,3.0
P874,5.2,2.3,8.4,2.8
P875,5.5,2.4,8.7,3.1
P876,6.5,2.4,8.2,3.9
P877,5.3,2.0,8.2,3.8
P878,5.7,2.1,8.3,3.5
P879,5.5,1.8,8.9,2.8
P880,6.1,2.0,8.6,3.3
P881,6.8,2.3,7.4,3.5
P882,5.3,2.4,7.4,3.5
P883,5.3,1.9,8.4,2.7
P884,6.1,2.0,9.0,3.0
P885,5.9,2.1,7.0,3.4
P886,6.5,2.2,8.4,3.6
P887,5.8,2.0,8.4,2.5
P888,5.4,2.2,9.6,3.3
P889,5.8,2.1,8.5,3.5
P890,6.1,2.1,9.0,3.7
P891,6.0,2.2,8.8,3.7
P892,5.8,2.2,7.4,3.6
P893,6.1,2.1,9.2,3.1
P894,6.1,2.1,8.9,2.6
P895,6.2,2.1,9.0,3.2
P896,5.9,2.1,11.1,3.8
P897,5.5,2.1,7.5,4.0
P898,5.6,2.4,9.8,3.7
P899,6.2,2.3,8.5,3.6
P900,5.1,2.1,8.9,3.6
P901,5.7,2.3,8.7,3.2
P902,5.4,2.1,8.5,3.3
P903,5.6,2.4,8.4,4.1
P904,6.2,2.2,8.9,3.0
P905,5.6,2.1,7.8,4.1
P906,5.6,2.2,9.2,3.3
P907,4.9,1.9,8.5,3.9
P908,5.9,1.9,8.0,2.8
P909,5.9,1.9,8.5,3.6
P910,6.6,2.2,9.5,3.1
P911,5.4,2.5,8.4,2.8
P912,5.7,2.6,8.9,3.5
P913,5.7,2.3,8.3,3.8
P914,6.3,2.2,9.2,3.1
P915,5.5,1.8,9.1,2.8
P916,5.7,2.1,9.9,3.4
P917,5.9,2.0,8.6,3.4
P918,5.6,2.0,9.1,3.6
P919,5.3,2.1,8.8,3.8
P920,5.6,2.1,9.5,3.4
P921,6.1,1.8,8.3,4.2
P922,5.0,2.3,9.2,3.5
P923,5.6,2.0,8.6,3.3
P924,5.2,2.2,8.7,2.7
P925,6.2,2.5,8.8,3.3
P926,4.8,2.0,8.9,3.3
P927,5.3,1.7,8.7,3.8
P928,5.7,2.1,8.9,3.6
P929,6.3,2.3,9.7,2.9
P930,5.5,2.5,9.3,3.5
P931,5.3,1.9,9.3,3.7
P932,6.5,2.2,8.4,4.0
P933,4.8,2.1,8.2,3.8
P934,4.4,2.1,9.3,3.7
P935,5.8,2.6,9.3,3.4
P936,5.3,1.9,9.6,3.6
P937,5.0,2.2,8.4,3.9
P938,5.9,2.2,8.6,2.9
P939,5.7,2.3,7.7,3.3
P940,5.3,2.2,8.5,3.1
P941,4.9,2.2,9.3,3.6
P942,6.0,2.1,8.4,3.9
P943,5.9,2.2,9.1,3.2
P944,5.5,2.1,8.6,2.4
P945,6.5,2.3,8.9,3.2
P946,5.0,2.1,8.0,3.8
P947,4.8,2.2,8.8,3.6
P948,5.2,2.1,6.9,3.6
P949,5.5,2.4,8.6,3.3
P950,5.7,2.1,7.7,2.9
P951,5.4,1.8,9.5,3.6
P952,5.7,2.4,9.2,3.1
P953,4.9,2.0,9.0,4.3
P954,6.3,2.0,9.7,3.6
P955,5.5,2.0,8.1,3.2
P956,6.1,2.4,9.8,3.2
P957,5.7,1.8,9.3,3.4
P958,5.8,2.7,8.6,3.3
P959,5.8,2.3,9.4,3.9
P960,5.8,2.2,8.1,3.5
P961,5.9,2.1,8.2,3.1
P962,6.2,2.2,8.4,4.2
P963,5.6,2.2,8.4,3.4
P964,5.9,2.3,8.1,3.7
P965,5.5,2.3,9.5,3.2
P966,6.3,2.2,8.6,3.5
P967,5.2,2.1,8.9,3.5
P968,6.5,2.1,8.4,2.6
P969,5.5,2.1,7.6,4.2
P970,4.8,2.4,8.9,3.9
P971,5.6,2.3,7.6,3.2
P972,5.2,1.6,8.7,3.0
P973,6.0,2.3,7.9,3.5
P974,5.2,2.2,9.9,3.4
P975,5.3,2.1,9.3,3.5
P976,4.6,2.1,8.8,3.5
P977,5.3,2.4,9.5,3.6
P978,4.3,2.3,8.2,4.0
P979,4.8,2.0,9.1,3.6
P980,5.9,2.2,8.8,3.0
P981,5.9,2.0,8.9,4.0
P982,5.8,1.9,9.5,4.1
P983,5.1,2.0,9.2,4.7
P984,5.5,2.3,8.9,2.9
P985,5.5,2.3,7.7,3.5
P986,5.0,2.2,8.1,2.6
P987,6.3,2.3,8.7,3.6
P988,6.0,2.2,8.8,3.2
P989,5.4,2.0,8.0,4.2
P990,5.6,2.2,10.2,3.1
P991,5.7,2.3,9.6,2.7
P992,4.5,2.3,9.1,3.2
P993,5.4,2.4,8.8,2.6
P994,5.2,2.3,8.6,3.7
P995,5.0,2.2,8.1,2.6
P996,5.4,2.3,8.8,3.4
P997,6.5,2.1,8.9,2.6
P998,5.9,2.0,8.0,3.3
P999,5.3,2.1,8.9,4.1
P1000,5.8,2.0,8.6,3.5
